,timestamp
0,2023-10-13 14:54:39 UTC
1,2023-10-13 14:54:39 UTC
2,2023-10-13 14:45:59 UTC
3,2023-10-13 14:45:59 UTC
4,2023-10-13 14:42:57 UTC
5,2023-10-13 14:42:57 UTC
6,2023-10-13 14:40:33 UTC
7,2023-10-13 14:37:05 UTC
8,2023-10-13 14:37:05 UTC
9,2023-10-13 14:33:52 UTC
10,2023-10-13 14:31:28 UTC
11,2023-10-13 14:26:59 UTC
12,2023-10-13 14:24:31 UTC
13,2023-10-13 14:21:56 UTC
14,2023-10-12 22:03:30 UTC
15,2023-10-12 22:03:30 UTC
16,2023-10-12 21:57:20 UTC
17,2023-10-12 21:54:05 UTC
18,2023-10-12 21:52:59 UTC
19,2023-10-12 21:51:15 UTC
20,2023-10-12 21:48:08 UTC
21,2023-10-12 21:30:28 UTC
22,2023-10-12 21:30:28 UTC
23,2023-10-12 21:27:41 UTC
24,2023-10-12 21:25:26 UTC
25,2023-10-12 20:03:55 UTC
26,2023-10-12 19:58:15 UTC
27,2023-10-12 19:54:50 UTC
28,2023-10-12 19:52:10 UTC
29,2023-10-12 19:47:01 UTC
30,2023-10-12 18:36:21 UTC
31,2023-10-12 18:30:26 UTC
32,2023-10-12 18:28:12 UTC
33,2023-10-12 18:24:30 UTC
34,2023-10-12 17:03:22 UTC
35,2023-10-12 16:58:35 UTC
36,2023-10-12 16:53:57 UTC
37,2023-10-12 16:04:19 UTC
38,2023-10-12 16:00:56 UTC
39,2023-10-12 15:57:58 UTC
40,2023-10-12 15:56:05 UTC
41,2023-10-12 15:51:58 UTC
42,2023-10-12 15:51:58 UTC
43,2023-10-12 15:47:04 UTC
44,2023-10-12 15:45:36 UTC
45,2023-10-12 15:42:24 UTC
46,2023-10-12 15:42:24 UTC
47,2023-10-12 15:39:19 UTC
48,2023-10-12 15:33:38 UTC
49,2023-10-12 15:21:47 UTC
50,2023-10-12 15:19:50 UTC
51,2023-10-12 15:17:23 UTC
52,2023-10-12 15:16:19 UTC
53,2023-10-12 15:16:19 UTC
54,2023-10-12 12:56:03 UTC
55,2023-10-12 12:54:26 UTC
56,2023-10-12 12:54:26 UTC
57,2023-10-12 12:49:01 UTC
58,2023-10-12 12:46:40 UTC
59,2023-10-12 12:44:00 UTC
60,2023-10-12 12:39:15 UTC
61,2023-10-12 12:36:42 UTC
62,2023-10-12 12:33:36 UTC
63,2023-10-12 12:30:10 UTC
64,2023-10-12 12:27:28 UTC
65,2023-10-12 12:27:28 UTC
66,2023-10-12 12:27:28 UTC
67,2023-10-12 12:27:28 UTC
68,2023-10-12 12:27:28 UTC
69,2023-10-12 12:26:25 UTC
70,2023-10-12 12:22:07 UTC
71,2023-10-12 12:16:54 UTC
72,2023-10-12 12:13:01 UTC
73,2023-10-12 12:13:01 UTC
74,2023-10-12 12:11:46 UTC
75,2023-10-12 12:06:17 UTC
76,2023-10-12 12:06:17 UTC
77,2023-10-12 12:06:17 UTC
78,2023-10-12 12:06:17 UTC
79,2023-10-12 12:06:17 UTC
80,2023-10-12 12:06:17 UTC
81,2023-10-12 12:05:15 UTC
82,2023-10-12 12:00:26 UTC
83,2023-10-12 11:56:52 UTC
84,2023-10-12 11:50:30 UTC
85,2023-10-12 11:46:44 UTC
86,2023-10-12 11:41:57 UTC
87,2023-10-12 11:38:38 UTC
88,2023-10-12 11:32:41 UTC
89,2023-10-12 11:29:30 UTC
90,2023-10-12 11:25:20 UTC
91,2023-10-11 20:05:37 UTC
92,2023-10-11 19:59:13 UTC
93,2023-10-11 19:56:19 UTC
94,2023-10-11 19:53:38 UTC
95,2023-10-11 19:50:16 UTC
96,2023-10-11 19:50:16 UTC
97,2023-10-11 17:41:42 UTC
98,2023-10-11 17:35:39 UTC
99,2023-10-11 17:31:21 UTC
100,2023-10-11 17:26:41 UTC
101,2023-10-11 17:22:09 UTC
102,2023-10-11 17:18:45 UTC
103,2023-10-11 17:16:02 UTC
104,2023-10-11 17:16:02 UTC
105,2023-10-11 17:16:02 UTC
106,2023-10-11 17:13:39 UTC
107,2023-10-11 17:08:35 UTC
108,2023-10-11 17:06:20 UTC
109,2023-10-11 17:02:25 UTC
110,2023-10-11 17:02:25 UTC
111,2023-10-11 16:58:47 UTC
112,2023-10-11 16:54:36 UTC
113,2023-10-11 16:50:39 UTC
114,2023-10-11 16:47:39 UTC
115,2023-10-11 16:42:42 UTC
116,2023-10-11 16:38:31 UTC
117,2023-10-11 16:34:00 UTC
118,2023-10-11 16:32:27 UTC
119,2023-10-11 16:30:27 UTC
120,2023-10-11 16:26:34 UTC
121,2023-10-11 16:23:34 UTC
122,2023-10-11 16:20:21 UTC
123,2023-10-11 16:16:06 UTC
124,2023-10-11 16:11:35 UTC
125,2023-10-11 16:05:45 UTC
126,2023-10-11 16:02:26 UTC
127,2023-10-11 16:02:26 UTC
128,2023-10-11 16:02:26 UTC
129,2023-10-11 15:11:06 UTC
130,2023-10-11 15:04:55 UTC
131,2023-10-11 15:01:26 UTC
132,2023-10-11 15:00:06 UTC
133,2023-10-11 14:56:02 UTC
134,2023-10-11 14:52:33 UTC
135,2023-10-11 14:47:56 UTC
136,2023-10-11 14:44:33 UTC
137,2023-10-11 14:44:33 UTC
138,2023-10-11 14:42:39 UTC
139,2023-10-11 14:42:39 UTC
140,2023-10-11 14:38:22 UTC
141,2023-10-11 14:34:44 UTC
142,2023-10-11 14:34:44 UTC
143,2023-10-11 12:38:36 UTC
144,2023-10-11 12:38:36 UTC
145,2023-10-11 12:36:40 UTC
146,2023-10-11 12:31:24 UTC
147,2023-10-11 12:31:24 UTC
148,2023-10-11 12:23:56 UTC
149,2023-10-11 12:18:28 UTC
150,2023-10-11 12:15:07 UTC
151,2023-10-11 12:09:02 UTC
152,2023-10-11 12:06:17 UTC
153,2023-10-11 12:02:02 UTC
154,2023-10-11 12:00:19 UTC
155,2023-10-11 11:56:32 UTC
156,2023-10-11 11:51:23 UTC
157,2023-10-11 11:46:46 UTC
158,2023-10-11 11:42:36 UTC
